"0","# Select survey data "
"0","strawberry.sur <- strawberry %>%"
"0","  filter(Program==""SURVEY"") %>%"
"0","  # Select Data.Item rows that contains information relevant to yield"
"0","  filter(grepl(""ACRES|PRODUCTION|YIELD"", Data.Item)) %>%"
"0","  # Drop all one value columns"
"0","  drop_one_value_col()"
"0",""
"0","# Clean the data "
"0","# Remove all ""STRAWBERRIES - "" from the column Data.Item, since they serve no purpose "
"0","strawberry.sur$Data.Item <- str_remove_all(strawberry.sur$Data.Item, ""STRAWBERRIES - "") "
"0","# Remove all ""STRAWBERRIES, "" from the column Data.Item, since they serve no purpose "
"0","strawberry.sur$Data.Item <- str_remove_all(strawberry.sur$Data.Item, ""STRAWBERRIES, "") "
"0",""
"0","# Replace ""(D)"" with NA"
"0","strawberry.sur$Value[strawberry.sur$Value =="" (D)""] <- NA"
"0",""
"0","# Turn all values into numeric"
"0","strawberry.sur$Value <- str_remove_all(strawberry.sur$Value, "","")"
"0","strawberry.sur$Value <- as.numeric(strawberry.sur$Value)"
